region,taux_alpha,taux_scol_prim,taux_scol_sec,ratio_eleves_maitre,tx_mort_inf,acces_eau,acces_assain,centres_sante,tx_pauvrete,revenu_moy,tx_chomage,emploi_inform,pib_regional,acces_electr,densite_routiere,acces_internet,idh_subnational,tx_fecondite,densite_pop,part_urbaine,tx_emploi_fem,surf_agri,secu_alim
Dakar,85.2,98.1,72.4,35.2,28.5,97.8,88.2,12.4,17.1,285000,18.2,42.1,4250,98.5,185.4,76.2,0.72,3.8,5726,97.2,58.4,8.2,78.5
Thiès,62.4,88.5,48.2,42.1,45.2,82.4,61.2,7.8,32.4,148000,12.4,68.2,850,72.4,98.5,42.1,0.55,5.2,142,52.4,42.1,38.5,61.2
Diourbel,41.2,74.2,28.5,52.4,62.4,65.2,42.1,4.2,54.2,98000,8.2,78.5,420,48.2,62.4,22.4,0.41,6.8,212,28.5,32.4,52.4,48.2
Saint-Louis,58.5,85.2,42.4,45.2,48.5,78.5,58.2,6.5,38.5,125000,10.5,72.4,580,65.2,85.4,35.2,0.52,5.8,28,45.2,38.5,65.2,55.4
Louga,38.5,68.4,22.5,58.2,68.5,58.2,32.4,3.8,62.4,82000,6.8,82.4,285,38.5,48.2,18.5,0.38,7.2,18,28.5,28.5,58.5,42.4
Fatick,44.2,72.5,28.4,55.4,58.5,62.4,38.5,4.5,58.5,92000,7.5,80.2,320,42.4,55.4,20.4,0.42,6.5,52,32.4,35.2,68.5,45.2
Kaolack,52.4,80.2,35.2,48.5,52.4,72.4,48.5,5.8,48.2,112000,9.2,75.2,485,55.4,72.5,28.5,0.48,6.2,82,38.5,40.2,55.2,52.4
Ziguinchor,55.2,82.5,38.5,48.2,52.5,74.2,52.4,6.2,44.5,118000,11.5,70.5,520,58.5,78.2,32.4,0.50,5.5,52,42.5,45.2,72.4,58.5
Kolda,32.4,62.4,18.5,65.2,75.4,48.5,25.4,3.2,72.4,68000,5.5,88.5,198,28.5,38.5,14.2,0.32,8.2,22,22.5,28.5,78.5,35.2
Tambacounda,35.2,65.2,20.4,62.4,72.5,52.4,28.5,3.5,68.5,74000,5.8,85.4,225,32.4,42.4,15.8,0.35,7.8,8,25.4,30.2,82.5,38.5
Kédougou,28.5,58.5,15.2,68.5,78.5,45.2,22.4,2.8,75.2,62000,4.8,90.2,165,25.4,32.4,12.4,0.29,8.8,12,20.5,25.4,85.2,32.4
Matam,36.5,66.5,21.5,60.2,70.2,54.5,30.2,3.6,66.2,76000,6.2,84.2,215,34.2,44.5,16.5,0.36,7.6,15,24.5,31.5,80.4,40.2
Sédhiou,30.5,60.5,16.8,66.8,76.8,50.2,27.5,3.0,70.5,65000,5.2,87.5,185,28.8,36.8,13.5,0.31,8.5,25,21.8,27.8,81.5,36.8
Kaffrine,34.5,64.5,19.8,63.5,73.8,51.8,29.8,3.4,67.8,71000,5.6,86.2,205,31.8,41.5,15.2,0.34,8.0,18,23.2,29.8,79.8,39.2
