region_ansd,annee,taux_alphabetisation_pct,tx_scol_primaire_pct,tx_scol_secondaire_pct,ratio_eleves_maitre,surf_agricole_pct,densite_pop_km2,part_urbaine_pct,isf
Dakar,2023,84.8,91.5,64.2,31.8,2.1,5823,97.2,3.5
Diourbel,2023,37.5,71.8,27.6,48.2,45.3,218,32.4,6.2
Fatick,2023,35.8,67.5,21.8,50.1,54.8,51,17.9,6.5
Kaffrine,2023,27.5,59.8,18.1,51.8,61.7,28,13.8,7.1
Kaolack,2023,47.6,73.5,31.8,46.1,52.2,62,44.8,6.0
Kedougou,2023,22.1,55.2,12.3,54.8,29.8,5,12.1,6.8
Kolda,2023,25.3,57.8,14.8,53.9,44.7,22,19.8,7.0
Louga,2023,39.8,64.8,24.8,45.2,47.5,18,28.1,6.4
Matam,2023,30.1,57.8,19.8,49.8,34.8,12,15.8,6.8
Saint Louis,2023,57.8,77.8,39.8,38.2,41.8,15,47.8,5.2
Sedhiou,2023,21.8,54.8,12.1,55.8,39.8,35,15.2,7.2
Tambacounda,2023,34.8,61.8,21.8,47.8,37.8,8,29.8,6.6
Thiès,2023,61.8,81.8,47.8,34.8,37.8,278,52.1,4.5
Ziguinchor,2023,59.8,79.8,41.8,40.1,34.8,52,38.1,5.5
