nom_region,taux_acces_electricite_pct,densite_routes_km_km2,taux_internet_pct,taux_acces_eau_pct,taux_assainissement_pct,nb_cs_pour_10000hab,taux_mortalite_inf_pour_1000
Dakar,98.1,2.82,52.3,95.2,72.1,3.2,27.5
Diourbel,52.1,0.45,17.8,65.1,34.8,1.8,52.3
Fatick,42.1,0.38,13.8,61.8,29.8,2.0,57.8
Kaffrine,34.8,0.28,10.2,55.2,24.8,1.5,67.8
Kaolack,55.1,0.52,21.8,68.2,38.1,2.2,54.8
Kédougou,24.8,0.15,6.1,44.8,18.1,1.2,74.8
Kolda,27.8,0.18,7.8,47.8,19.8,1.4,71.8
Louga ,44.8,0.32,14.8,60.1,31.8,1.9,59.8
Matam,31.8,0.22,9.1,51.8,22.1,1.6,64.8
Saint-Louis,64.8,0.42,27.8,77.8,44.8,2.5,41.8
Sédhiou,21.8,0.15,5.1,42.1,14.8,1.1,69.8
Tambacounda,37.8,0.20,11.8,54.8,27.8,1.7,64.8
Thiès,77.8,0.95,38.1,81.8,54.8,2.8,34.8
Ziguinchor,57.8,0.35,24.8,70.1,41.8,2.3,44.8
